actorId,actorName,actorGender
133736,Ed Kemmer,M
1226696,Will Zahrn,F
563053,Aurora Bach Rodal,F
1239505,Dalene Irvine,F
1051831,Chico Roland,F
27960,Plien van Bennekom,F
100577,Wanda McKay,F
1058011,Terri Doty,F
98608,Ann Turkel,F
1890471,Richard Bird,F
188722,Charles Murphy,F
8666,Sal Lopez,F
1360002,William Xifaras,F
1077903,Maria Ducceschi,F
1281,Freddie Highmore,M
4093,Ray Walston,M
14153,Ann Rye,F
45291,Philip Carey,M
1089514,Lizzie Hopley,F
1356547,Muriel Hunt,F
1032528,Hendrick Haese,F
94732,Charlotte Gerson,F
127631,Scott McKay,M
1288585,Kyle Villalovos,F
1096768,Pierre Le-Tan,F
8167,Paul Walker,M
30485,CCH Pounder,F
1871279,Tomaso Thellung,F
8828,Lillian Gish,F
1367049,Bruno Tuchszer,F
559658,Barry Yourgrau,M
1637680,Blanka Szilasi,F
69807,Rider Strong,M
995348,Jennifer D. Johnson,F
1242148,Ron White,M
82382,James Stephenson,M
2201,Max von Sydow,M
24321,Victoria Shaw,F
27660,Roger Hammond,M
552680,Eken Mine,F
1604095,Ray Fischer,F
30242,Alma Kruger,F
1019964,Asha Patel,F
168326,Lauren Bowles,F
62231,Rupert Frazer,M
564035,Jing Lusi,F
8632,Fred Clark,M
1062247,Antonella Murgia,F
206928,Maxwell Perry Cotton,M
1370,Brad Dourif,M
1812586,Ana Alic,F
1348446,Anja Bertelsen,F
1642319,Penny Riley,F
1903174,Scott Brandon,M
30709,John Stuart,M
65197,Mark Cheng,M
51938,Shawn Lawrence,F
224223,Ranveer Singh,M
2372,Ron Perlman,M
1844328,Darryl Spencer,F
1519555,Thomas Buck Mason,F
16119,Charles Napier,M
17681,Morris Birdyellowhead,M
12446,Peter Sellers,M
114019,Luke Evans,M
87873,Tsugumi,F
137769,Kalju Karask,F
93970,Lola Lane,F
1421073,Leon Alton,F
2669,Raymond Massey,M
1724693,Hilli Hotan,F
229191,Banjou Ginga,F
11902,Robin Bartlett,F
3090,Richard Conte,M
1133106,Stefano Scandaletti,F
1284626,Autumn Campbell,F
1270143,Masashi Goda,F
48517,Micha Breidenstein,F
2387,Patrick Stewart,M
86626,Aziz Ansari,M
155488,Kelly Clarkson,F
127372,Sergey Shakurov,F
2356,Gérard Brach,M
1714921,Jacki Hill,F
543169,Wang Wufu,F
1818038,Marcus Morales,F
111420,Lars Eidinger,M
1333922,James Bigwood,F
80567,Freddie Bartholomew,M
582698,Erin Simms,F
183245,Willie Barcena,M
208246,Darien Provost,M
173451,Jed Brophy,F
30555,Antonio Moreno,M
20563,Alex Veadov,M
10939,Bernie Casey,M
18052,Nathan Gamble,M
135031,Shintarô Takado,F
1415936,Pat Heywood,F
47643,Robert Pugh,M
91404,Eric Breker,M
44620,Foxy Lae,F
1168045,Feng Chiang,F
39972,Ruth Trouncer,F
1487016,Logan Olson,F
61985,Olivier Baroux,F
32428,William Powell,M
1676871,Valeria Sweet,F
29369,Melanie Griffith,F
12216,Kellie Waymire,F
1420879,Bruce Sidney,F
1034990,Ox Baker,F
41273,Ami Dolenz,F
52883,Pat Corley,M
12214,Gillian Anderson,F
80650,Martha Sleeper,F
102372,Benay Venuta,F
230342,Ed Robertson,F
60072,Sara Paxton,F
23931,Mira Sorvino,F
55467,Stephen Campbell Moore,M
2885,Michelle Meyrink,F
1379453,Arlee Reed,F
1549,Dwight Frye,M
1125801,Loye Hawkins,F
1185412,Jane Harker,F
1530528,Pontus Stenshäll,F
107970,Ángel Ramírez,F
125459,Harry Secombe,M
37457,Jean Lefebvre,M
1188,Kim Ki-duk,M
2047,Danny Glover,M
30530,Irving Bacon,M
27428,Aaron Taylor-Johnson,M
936508,Harriet MacMasters-Green,F
15666,Victor Jory,M
13283,Akira Emoto,M
34609,Paul Bryar,F
1226344,Steven M. Porter,F
7025,Richard McCabe,M
936,Oliver Reed,M
39306,Karl-Heinz Vosgerau,M
1721384,Vlad Stokanic,F
1367241,Amanda Clayton,F
1026037,Dan Savier,F
77927,Megumi Ogata,F
1134300,Pablo Nicomedes,F
14888,Bruce McGill,M
15736,Sylvia Syms,F
1145979,Isabelle Allen,F
12550,James Morrison Reese,F
118757,Chuck Pfeiffer,M
1197066,Nastassia Markiewicz,F
1050324,Yu Shao-Qun,M
3337,Vince Edwards,M
1348448,Lotte Wenkens,F
11855,Geraldine James,F
106843,Buzz Aldrin,M
1215689,Christina Chang,F
10345,Soon-Tek Oh,M
1795830,Octavia Morrissey,F
1155685,James McGovern,F
1398251,Jackson Ng Yuk-Sue,F
965179,Rick Crawford,M
227926,Charles Gavin,F
85940,Arthur Franz,M
298229,Paul Fowles,F
1199647,Meliz Karlge,F
137820,Aapo Ilves,F
1173407,Michael Nightingale,F
1229414,Naomi Ryan,F
1026877,Ted Ferguson,M
11086,Michael Ironside,M
6725,Russ Tamblyn,M
1781516,James Mahon,F
88812,Neetu Singh,F
175658,Lesli Kay,F
76093,Carmen Chaplin,F
21561,Tim Matheson,M
1717278,Melanie Specht,F
967540,Carrie Wiita,F
90720,Elysia Rotaru,F
150826,Laura De Marchi,F
1072075,Djonibek Mourodov,F
1393715,Kathryn Rossetter,F
477074,Owen Benjamin,F
16264,Lee Eol,F
238939,Mert Fırat,F
11793,Priscilla Pointer,F
4038,Susan Sarandon,F
152942,Allen Williams,M
1196959,Rosie Day,F
78423,Omar Sy,M
11397,Ric Young,M
13578,Dana Andrews,M
235572,Orazio Orlando,M
13640,Harvey Korman,M
14508,John Hoyt,M
1189047,Charles De Vries,F
12950,George Kennedy,M
170638,Dan Cortese,M
3070,Chris Haywood,M
19489,Peter McRobbie,M
78076,Wayne Allwine,M
126936,Eva Röse,F
24541,Dominique Labourier,F
786,Stephen Elliott,M
1815108,Courtney D. Carey,F
97167,Barbara Hicks,F
52061,Sherry Buchanan,F
205,Kirsten Dunst,F
1107812,Mohan Randhawa,F
1271,Andy García,M
1482685,Nea Dune,F
1714581,Heinz-Werner Jeschkowski,F
1092223,Janelle Johnson Dolenz,F
8263,Andrea Martin,F
1193274,Michael Oberholtzer,F
53100,Doron Tavory,F
119095,Douglas Russell,M
23916,Randee Heller,F
1240252,Edgar Dearing,F
1635995,Alessandro Bandiera,F
82622,Charlotte Ross,F
82667,Ana Serradilla,F
1498860,Eulàlia Ramon,F
108289,Barney Phillips,M
90333,Raymond Hatton,M
935432,Aleksei Kozodayev,F
30289,Linda Darnell,F
1452924,Justin M. Rasch,F
1244683,Regis Parton,F
1325532,Ryan Oliva,M
135420,Deborah Findlay,F
1177654,Tony Parker,F
1184826,Susanne Rosser,F
113942,George Cross,F
1503569,Shehzad Sheikh,F
96851,James Phelps,M
17523,Cristina Brondo,F
7906,Jennifer Tilly,F
1011306,Peppino Mazzotta,M
29406,Joey Ansah,M
544916,Paul Chang Chung,F
147255,Tony Way,M
1624631,Brian Lam,M
52722,Jacob Matschenz,F
212641,Ria Vandervis,F
134321,Ken Mitsuda,F
5924,Richard McMillan,M
99330,George Meeker,M
20418,Jan Sterling,F
49971,Jennifer Ehle,F
57854,Cheryl Hines,F
111002,Brady Coleman,F
1869490,Darren Hart,F
1282129,Warren Masemola,F
1526047,Ait Hamou Amine,F
963818,Troy Baker,M
1783247,Ernest Verne,F
32093,Guy Mairesse,M
1150519,At Botha,F
18,Brad Garrett,M
1863915,Deiwis Jamaica,F
119792,Bhasker Patel,M
1487984,Brianna Joy Chomer,F
46501,Hertha von Walther,F
1476384,Robert Lonsdale,F
34651,Peter Baldwin,M
148212,Jackie Kreisler,F
131170,Robert Wall,F
13014,Toby Jones,M
15111,Jean-Claude Van Damme,M
16850,Rose McGowan,F
11828,Adrian Hough,M
57823,Marylouise Burke,F
973135,Claire Geare,F
110931,Blue Deckert,M
1491567,Sergio Romano,F
57770,Arlin Miller,F
1101,Carl Weathers,F
1089461,Michael Ojake,F
1673063,Michelle Sweeney,F
1586307,László Mátray,F
120109,Paola Onofri,F
52775,Kristin Chenoweth,F
1682977,Myriam Roustan,F
992913,Sammy Cohen,M
1908,Robert Oliveri,M
227400,Jaroslav Moučka,M
124875,Emory Parnell,M
101493,Lillian Fontaine,F
1979,Kevin Spacey,M
1246691,Zane Meas,F
1112344,Hideo Fujino,F
48087,Erwin Steinhauer,F
77264,Ashlie Atkinson,F
1152,Oliver Stone,M
1200853,Sophie Evans,F
158391,Kristi Angus,F
34546,Mark Gatiss,M
187919,Tobias Segal,F
50659,Kôichi Ueda,F
21798,Johnny Messner,M
138013,Nicola Cowper,F
44792,Art LaFleur,M
3380,Bette Davis,F
380,Robert De Niro,M
1711912,Imad Mardnli,F
55931,Stuart Charno,M
5168,Gabriel Byrne,M
1092658,Renáta Szatler,F
42287,Leslie Zemeckis,F
931002,Silvio Wolf Busch,F
90409,Brooklyn,F
82732,Mohanlal,M
1869687,Gérard Ganda Mayoumbila,F
1363055,Brian Hanford,F
59150,John Keefe,M
552168,Takeo Oikawa,F
49733,Michael Glauser,M
1073929,Marta Torné,F
1439595,Ivan Jovanicic,F
7631,Stella Stevens,F
1684813,Pieter van der Houwen,F
21111,John F. Kennedy,M
54789,Sean Patrick Flanery,M
30553,Henry Brandon,M
29792,David Dukes,M
99262,Oleg Basilashvili,M
3051,Toni Collette,F
63857,Michael Cram,M
127431,Singh Hartihan Bitto,F
1291335,James W. Boinski,F
574870,Naqi Seif-Jamali,F
1664413,Félix Claude,F
30303,Bruce Bennett,M
34117,Robert Lowery,M
8791,Marie-Josée Croze,F
80597,Kym Whitley,F
1748825,Kate Ferguson,F
85651,Judy Holliday,F
60671,Luis Ávalos,M
1425463,Sean Kleier,F
173428,Bridget Hoffman,F
552525,Daniella Garcia-Lorido,F
1285864,Art Supawatt Purdy,M
25816,Umberto Raho,F
13325,Wendy Hiller,F
1558226,Megan Gallagher,F
15253,Stanley Anderson,M
184250,Elisabeth Granli,F
15832,Gilbert Gottfried,M
1649059,Michael Tourek,M
158587,Christina Jastrzembska,F
1720326,Celeste Russi,F
19975,Michael Rosenbaum,M
173780,Susan Ziegler,F
51932,Neill Fearnley,M
1719834,Chris Wilson,M
98018,Gwen Lee,F
1748,William Shatner,M
1708593,Peter Rossi,F
1281295,Mary Ellen Gleason,F
1073501,Gina Montana,F
1023934,Philip Morris,M
39040,Betsy Townsend,F
1167892,Jo-Anne McArthur,F
65939,Keiji Sato,F
18702,Mark Dacascos,M
1630634,Til-Niklas Theinert,F
1046494,Kris Pearn,F
59819,Deanna Russo,F
55997,Joi Lansing,F
352124,Errol John,M
196358,Barry Lynch,M
1484161,Bob Jay Mills,F
35566,Mark Hanson,M
1531763,Ingeborg Albert,F
129549,Rags Ragland,M
8984,Bill Pullman,M
2922,Boris Karloff,F
143391,Magnus Krepper,M
6199,Miriam Margolyes,F
16702,Sean Harris,M
1202994,Paolo Montarsolo,F
1566903,Sabyasachi Chakrabarty,F
105453,Charles Richman,M
1782452,Benjamin Toby Mullinkosson,F
1081839,Eva Dahlman,F
2018,Beryl Mercer,F
1451618,Anthony J. Sacco,M
37632,Eddie Redmayne,M
103130,Savina Geršak,F
227606,Pascale Desrochers,F
1689834,Itje Trisnawati,F
1095107,Hank Bell,M
99258,Irina Skobtseva,F
1271204,Tiny Jones,F
108534,Adam Butcher,M
328,Brittany Murphy,F
7352,Sancho Gracia,F
1265870,Anthony Mingilino,F
28262,Jacques Duby,F
102829,Richard H. Cutting,M
49921,Darrell Foster,M
1633844,Austin Obiajunwa,F
126970,Umberto Contarello,M
141762,Joe Chrest,M
64913,Marie-Anne Chazel,F
10767,Barbara Hershey,F
939368,Jackie Welch,F
69122,Heather Graham,F
583792,Adir Miller,F
2771,Jim Backus,M
125039,Tom Chadbon,M
27686,Ann McDonough,F
1853167,Clint Allen,M
32043,François Perrot,F
140112,Charles 'Chic' Sale,F
12351,Jeff Morrow,M
98953,Jerry Ferrara,M
100763,Billy Bevan,F
237362,Yoshiko Miyazaki,F
2437,Edward Everett Horton,M
10963,José Zúñiga,M
31599,Antonio Bravo,M
560784,John Prendergast,F
1486582,Hubert Burton,F
64585,Dimitri Rafalsky,F
1752,George Takei,F
1685460,David Paris,M
96725,Wallace MacDonald,M
94067,Alexis Loret,M
1001741,Morgana Van Peebles,F
1648357,Marco Maurer,F
1164435,Cheryl Birchenfield,F
52583,Wagner Moura,M
1053775,Yumi Yoshiyuki,F
57715,Kulle Westphal,M
1174005,Carl Allen,F
13525,Matt Craven,M
553699,Yari Gugliucci,F
115608,Bill Shine,F
226728,Ana Peregrina,F
1828841,Daniel James Lake,F
175353,Lee J. Campbell,F
181081,Jussie Smollett,M
12967,Swoosie Kurtz,F
1595675,Ydalia Suarez,F
1502244,Doris Morgado,F
119781,Joyce Brothers,F
1089483,Clemens Giebel,F
15900,Paul Dooley,M
31882,Carlos Riquelme,M
88376,Maeve Byrne,F
52904,Jean Claude Leuyer,F
1289008,Philip Godfrey,F
1219130,Mike Smith,M
1758990,Christopher Cagle,F
566103,Bartosz Gelner,F
100941,Giulio Massimini,F
583903,Hélène Vallier,F
10871,Natasha Lyonne,F
1196132,Patti Tippo,F
4029,Bob Gunton,M
61515,David Austin,F
96814,Alexander Hammid,F
1485774,Olivia Rainey,F
2,Mark Hamill,M
63476,Oren Skoog,M
120708,Edward Keane,M
138148,Andy Clyde,M
9626,Rip Torn,M
20243,Roger Ashton-Griffiths,M
1228823,Matthew Walker,M
1109778,Lee Hoi-Sang,F
1195676,Anthony Batarse,F
130654,Mikako Ichikawa,F
56039,Harold Bergman,F
5687,Eddra Gale,F
1666,Julie Christie,F
90369,Lane Chandler,M
176762,Todd Williams,M
16198,Mark Gruner,M
6837,Walter Matthau,M
39390,Michael Kenneth Williams,M
1894176,Jim Medearis,F
1707131,Janusz Bezamson,F
122468,Riisa Naka,F
17203,Gary Whelan,M
158644,Ellie Harvie,F
101298,Damon Martin,M
33573,Damon Charles,F
1321140,Margery Bonney Erskine,F
40258,Kyle Secor,M
1814150,Jorge Prado,F
1842111,David Castellvi,F
50310,Chuck Roberson,F
10017,Charlton Heston,M
1657806,Shirley Kurata,F
1497869,Georgette Méliès,F
37203,Jason Beghe,M
1982,Ajay Naidu,M
1666724,Antonio Lagares,F
52605,Eva Longoria,F
1276655,Olga Fadeyeva,F
1638834,Emmanuel Peterfalvi,M
1392193,Lee Diy-Yue,F
17628,Mary Elizabeth Winstead,F
1226423,Diane von Fürstenberg,F
14812,Jeanne Moreau,F
84952,Olesya Rulin,F
223814,Jerry Denton,F
24041,François Damiens,M
1212319,Barry Jenner,F
1115921,Takuro Ohno,F
6721,Piper Laurie,F
25383,Samantha Ferris,F
196493,Kristina Krofft,F
25311,John O'Hurley,M
98330,Rick Collins,F
32684,Rolf Lassgård,M
39602,Dolores Gray,F
18300,Eddie J. Fernandez,M
64120,John Matuszak,M
1175134,John P. Gulino,F
16201,Donna Wilkes,F
1044524,Nana Katase,F
1194314,Kym Kareth,F
82791,Valerie Tian,F
86479,Shaun Dingwall,M
149404,Sachiko Kokubu,F
1697155,Julia Holt,F
19020,Walter Huston,M
103036,Sidney Clute,M
1079514,Alessandro Partexano,F
83928,Rie Kugimiya,F
1120058,James Gurley,F
119547,Russ Powell,M
102894,Jill Kelly,F
128176,George Buza,M
13327,Nigel Davenport,M
145323,Patrick Johnson,F
14343,Rene Russo,F
107674,Joe Norman Shaw,F
127910,Rachael Murphy,F
579320,M'bembo,F
111640,Munetaka Aoki,M
1692296,Klara Low,F
31136,Chris Brown,M
15661,Clint Howard,M
2390,LeVar Burton,M
190895,Sarah Gadon,F
3160,Nehemiah Persoff,M
1957,Sophie Marceau,F
132446,Blanca Apilánez,F
154395,Jean St. James,F
1107,R. G. Armstrong,M
971237,Hector David Jr.,M
69934,Nick Cravat,M
1166982,Jade Viljamaa,F
38581,Rachael Leigh Cook,F
112837,Wolfgang Stendar,F
1642925,Willy Turesson,F
3907,Harve Presnell,M
1754589,Rey Goyos,F
58601,Kazue Fukiishi,F
76835,Scott Wills,M
1102260,Lara Jean Chorostecki,F
105636,Red Skelton,M
78447,Stefano Viali,F
206790,Josh Wingate,M
1809288,Joel Angelino,F
6952,Charlie Sheen,M
93738,Lim Yu-Beng,F
72466,Colin Farrell,M
26283,Gerrit Graham,M
1178926,Samuel Ting Graf,F
1392691,Brewster Sears,F
9450,Neil Rayment,M
97274,Adile Naşit,F
14707,Alix Koromzay,F
30142,George Pravda,M
565851,Carolina Jiménez,F
110246,Jack Kyle,M
46500,Carl de Vogt,M
116845,Myron Healey,M
109100,David Jean Thomas,M
1720982,Michael Moertl,M
43547,Nonso Anozie,M
21248,Bert Rosario,M
825,Stacy Keach,M
533790,Advent Bangun,M
1773081,Ulf Andersson,M
564781,Thamsanqua Mbongo,F
199876,Patrick Monckton,F
1572495,Luis Antonio Howard,F
1717647,Ross Berkson,F
1277001,Marie Boissard,F
83436,Nita Talbot,F
590992,Willy Semler,F
120551,Gloria Saunders,F
1748068,Joie Shettler,F
21104,Glenne Headly,F
34448,Dick Wessel,M
995358,Alice Rietveld,F
1194428,Dorothy Loudon,F
1547865,Luke Clements,F
81276,Mako Midori,F
58596,Shinichi Tsutsumi,M
196275,Alan Dobie,F
138651,David Kirk Traylor,F
124554,Harry Holman,F
1079507,Evangelina Salazar,F
11180,David Bradley,M
1278788,Hiroshi Sogabe,F
1039631,Zinaida Kirienko,F
138757,Rafael Spregelburd,F
1274246,Jef Mallett,F
76669,Wayne Brady,M
1163608,Alexandru Papadopol,F
49170,Simona Marchini,F
4619,Gabriela Maria Schmeide,F
13577,Myrna Loy,F
1416780,Felicity Steel,F
1071561,Nivin Pauly,M
100538,David Douglas,F
21605,Dirk Bogarde,M
106095,Maxie Rosenbloom,F
22138,Alexis Cruz,M
278923,Joel Torre,M
81941,Mary Forbes,F
124091,William Stelling,F
8233,Charles McGraw,M
52886,Jeffrey Donovan,M
100487,Debra Lamb,F
7796,Illeana Douglas,F
62846,Charlie Dell,M
1741245,Max Carradine,F
132494,Mary Howard,F
1594129,János Oláh,F
236016,Danielle Darrieux,F
41091,Kristen Wiig,F
67706,Shannon Jardine,F
45329,Chris Tashima,M
100552,Mary Woronov,F
1335499,Nigel DeFriez,F
95620,Mauricio Barrientos,M
1920,Winona Ryder,F
14451,Barton MacLane,M
164809,Ralph Brooks,M
26721,Iraida Polanco,F
78305,John Kellogg,M
122816,Lee Siu-Kei,M
490022,Ravshana Kurkova,F
1301882,Harry Bragg,F
1424658,Malin Levanon,F
1275688,Ethel Clayton,F
1429416,Tate Steege,F
36819,Hayley Mills,F
81000,Sergey Garmash,M
403172,Tomas Bolme,F
3712,Saul Rubinek,M
92728,Amy Hargreaves,F
1263596,Samantha Fuller,F
4756,Matthew Broderick,M
1773110,Sandra Higueras,F
1137448,Tony Vespe,F
1306369,Stephanie Mason-Teague,F
1345608,Lance Gilbert,F
933123,Mark Gibson,F
24368,Roscoe Lee Browne,M
120251,Shanna Forrestall,F
74718,Rolf Kristian Larsen,M
65082,Anikó Donáth,F
1163456,Mitchell Davis,F
275949,Ramón Langa,M
148360,Ajith Kumar,M
1593385,Allison Rowe,F
12274,Georges Poujouly,M
146149,Jayaprakash Reddy,M
154629,Keith Diamond,M
2133,Dina Meyer,F
18290,Ashlyn Sanchez,F
1153570,Rae Daggett,F
113710,Chief John Big Tree,F
1664224,Fabrice Donnio,F
17882,Isabelle Huppert,F
4570,Emily Hampshire,F
105089,Michael Delano,F
80753,Tsuyoshi Kusanagi,F
173198,Heather Tom,F
77293,Charlie Schlatter,M
1032695,Leo Gamboa,F
128400,Frances Starr,F
89545,Lisa Ann Beley,F
111361,Zandra Andersson,F
1231,Julianne Moore,F
5050,Yaphet Kotto,F
1165303,Neva Kehouane,F
87255,Cyndi Lauper,F
1007331,Paul James,F
169265,Chris Gethard,M
34490,Sarah Paulson,F
1634921,Tracy Weiler,F
1779511,Laughton Parchment,F
106791,Aida Turturro,F
229932,Golshifteh Farahani,F
1108959,Milvia Deanna Frosini,F
78,Fritz Rasp,M
35210,Roland Giraud,M
1236181,Annevig Schelde Ebbe,F
10,Bob Peterson,M
20718,Claude Berri,M
11288,Robert Pattinson,M
18404,Norbert Losch,M
186336,Patsy Garrett,F
4489,Steve Oedekerk,M
1137888,Lauren Pennington,F
550473,Jeff Galpin,M
21301,Edna Purviance,F
1895146,Caitlin Rice,F
1899009,Heather Alexandra,F
20699,Anamaria Marinca,F
40954,Maria Schell,F
78859,Lori Nelson,F
63240,Dave Holmes,M
51812,Nicol Williamson,M
149594,Paige Moss,F
1692066,Matthew Sakimoto,M
1803724,James O'Connor,M
65976,Yuen Shun-Yi,F
1390260,Ellen Savaria,F
9285,John Roselius,M
1556204,Teddy Reddy,F
54522,Vicente Gil,F
167764,Tim Snay,M
554500,Yayoi Tanaka,F
232506,Rüdiger Kirschstein,F
34098,Ernie Adams,F
146652,Ryûshi Mizukami,F
656,Denholm Elliott,M
150167,William Hauber,M
1177708,Kevin Hearn,F
1407140,Prem Prakash,M
1702789,Jared Kemp,F
82437,Melissa Jaffer,F
32809,Paul Mohan,F
6588,Isabella Rossellini,F
49834,Bette Henritze,F
1231526,Candis Cayne,F
52761,Igor Jijikine,M
1270903,Viktor Tsoppi,F
204815,Jesse Tyler Ferguson,M
109333,David Broughton-Davies,F
1589178,Liu Yin-Shang,F
4307,Claude Akins,M
