directorId,directorName
87561,Raj Kapoor
238027,P. Bharathiraja
5917,Ernie Barbarash
85809,Shane Van Dyke
94045,Bill Corcoran
1193602,Gia Coppola
151748,Hollingsworth Morse
930708,Malik Bendjelloul
99511,Duccio Tessari
19006,Rachel Grady
1141761,Anna Sandilands
100979,Douglas Hickox
1361874,Chris Terry
11528,Jean Renoir
584865,Agathiyan
71901,Douglas Aarniokoski
58178,David Mirkin
1347507,Pengau Nengo
1155073,John Ruane
1147289,Ryota Nakano
56383,Kelly Reichardt
39022,Anthony Page
1637776,Matt Peters
142513,Emma-Kate Croghan
222686,Mia Hansen-Løve
2000,Lewis Milestone
508,David Koepp
57193,Gil Kenan
172,Michael Winterbottom
585004,Aileen Ritchie
131955,Lau Kar-Wing
1170861,Maxime Giroux
468,Stephen Daldry
1124024,Temístocles López
70334,Lo Wei
992840,Agustin
54869,Paul Scheuring
60045,Eric Bross
13620,William Hanna
3776,Jean-Luc Godard
1076268,Jukka Kärkkäinen
88820,Jean Rollin
147021,S.S. Rajamouli
41632,Giuseppe Rosati
93087,David Gebroe
69759,Apichatpong Weerasethakul
8688,Diego Luna
84335,Joe Lynch
220691,Laura Poitras
209972,Robert Stone
52842,Garth Jennings
29433,Lucio Fulci
10601,Joseph L. Mankiewicz
1032,Martin Scorsese
259027,Osvaldo Civirani
92317,Spike Brandt
584035,Noël Burch
19457,Mark Robson
86152,Karen Oganesyan
21227,Sergio Martino
82796,Nikita Mikhalkov
1179824,Alexis Gambis
1963,Danièle Thompson
65678,John Lafia
1498167,Clay Staub
571191,Oddvar Einarson
252806,Christopher Ashley
1143378,Edouard Deluc
5696,Bruce Beresford
1088719,Aleksandr Tatarskiy
1351760,Cheng Yin
54734,Evan Goldberg
80577,Tomek Baginski
1884,Steven Soderbergh
82194,Neill Blomkamp
19377,Erick Zonca
579303,Tom Kuntz
23213,Harold Becker
1040405,Thomas S. Alderman
64151,Mike Mitchell
85551,Giovanni Veronesi
1293989,Matthew Freund
14773,Don Siegel
83784,Jan Švankmajer
945167,Jacobo Rispa
1046585,Roger Gnoan M'Bala
13284,Stanley Donen
544134,Sylvia Soska
1305412,Zeek Earl
225009,Pablo Larraín
448930,Shane O'Sullivan
565681,Makoto Tezuka
16589,Peter MacDonald
8500,John Ford
1428158,Xavier Seron
31074,Kinji Fukasaku
1073817,Ilppo Pohjola
107148,Michael Tucker
1170415,Lawrence Blume
151162,Agustí Villaronga
56789,Thomas Bezucha
991868,Ari Sandel
51910,David Green
78845,Arthur Lubin
78562,Phil Traill
70103,Fumihiko Sori
19450,Bob Rafelson
122740,Sergiu Nicolaescu
71797,Alex Gibney
39009,Joseph Losey
39743,Henry Levin
226403,Pete McGrain
19499,Kevin Munroe
5970,Pier Paolo Pasolini
30365,Michael Caton-Jones
33821,Jorge Grau
88809,Hrishikesh Mukherjee
85203,Damian Lee
238824,Jeff Schechter
131465,Bowie Lau
15461,Jiska Rickels
1083210,Pier Ludovico Pavoni
2226,Sydney Pollack
64883,Kang Je-gyu
7395,Bobby Farrelly
106093,Phil Grabsky
52968,Russell Mulcahy
6011,Michael Haneke
1061773,Jake Szymanski
587509,Oleg Pogodin
130938,Sergei Bodrov
150259,Osman Sınav
550227,Orhan Aksoy
543495,Paul Schneider
1537976,Michael Medaglia
4786,Richard Attenborough
88976,Carl Pierson
933695,Helena Taberna
89745,Jean Yarbrough
928915,David Gelb
57665,Eric Karson
48309,Paul Breuls
18161,Simon Verhoeven
1385799,Matteo Zoppis
90367,Sam Liu
13861,Frank Pierson
142630,Aatish Kapadia
1066310,Paul Tarnopol
127542,Bob Misiorowski
96948,James Bolton
1556959,Sam Wrench
115677,Coky Giedroyc
52609,Breck Eisner
55119,Alejandro Jodorowsky
40615,Jerzy Kawalerowicz
16412,William Conrad
1135820,Dominic Howes
50719,Rodman Flender
109342,Jacques Feyder
19161,Sandrine Bonnaire
54469,Michael Almereyda
63589,Debbie Isitt
71947,Gina Prince-Bythewood
78029,Martin Lawrence
577385,Seung-wook Byeon
70602,Jörg Buttgereit
88077,Alex Zamm
18927,Ralf Westhoff
8635,Buster Keaton
6593,John Huston
33064,Henry Koster
1120003,Alekos Sakellarios
40230,Kevin Hooks
25826,Mario Bava
231866,Emilis Velyvis
1004922,Drew Daywalt
105343,Renato Polselli
82255,Peter Israelson
40391,Richard A. Colla
57290,Pino Van Lamsweerde
954780,Paul Saltzman
1543405,Ali Scher
88594,Robby Grewal
135678,Jan Hřebejk
96323,Marcel Sarmiento
96801,Hiroshi Teshigahara
74863,Lauren Montgomery
1255,David Mamet
1288796,Gerard Johnstone
14520,John Sturges
769,Martin Brest
74878,Tay Garnett
53395,David Tedeschi
56405,Frédéric Beigbeder
2042,Stephen Hopkins
3224,Stephen Frears
76936,Yojiro Takita
1304672,Kıvanç Baruönü
88792,Måns Herngren
229002,Jeff Renfroe
2765,Nicholas Ray
230469,Cheik Doukouré
11887,Brad Silberling
88567,Henrik Moltke
1082091,Martin Rejtman
56151,Peter Winther
25236,Johnnie To
119784,Gilbert Cates
20907,Antoine Fuqua
85758,Edward Sampson
56960,Hossein Amini
110834,John Murlowski
58689,Neil LaBute
137495,Shūji Terayama
224644,Alex Stapleton
58021,Tinto Brass
37932,F. Gary Gray
1650,François Truffaut
9789,Robert Altman
1085918,Soon-Mi Yoo
3974,Miloš Forman
628,Isao Takahata
125796,Rauni Mollberg
9264,Sergio Mimica-Gezzan
31962,Gregg C. Tallas
16862,Claude Lelouch
3288,Chris Weitz
100336,Paolo Cavara
70235,Marco Tullio Giordana
592438,César Rodrigues
225332,John Lands
10620,Ulli Lommel
113855,Xavier Giannoli
63481,Brian Brough
452840,Paul Sommers
224452,Gianfranco Rosi
87130,Mark A.Z. Dippé
93397,Anders Jacobsson
19798,Randa Haines
37526,Fernando Trueba
81210,Stephan Apelgren
932906,Jean-Marc Turine
12011,William Castle
31497,John Cromwell
10774,Anne Bancroft
66086,Mary Agnes Donoghue
30942,William A. Levey
18897,Jackie Chan
6295,Catherine Breillat
21399,Ron Silver
227452,Keith Scholey
110343,Brett Simon
61821,Robert S. Baker
72952,Grant Harvey
1183912,Mira Fornay
7671,Jeb Stuart
34264,Marco Ferreri
19708,Albert Band
143559,J.A. Howe
26713,Chuck Russell
1081448,Véréna Paravel
146605,James D. Deck
4600,Joe Dante
56210,Pablo Trapero
1106877,Levan Bakhia
938625,Hajrudin Krvavac
117049,Bob Sweeney
80602,Tyler Perry
21370,Roger Donaldson
555094,Akiyuki Shinbo
1364881,Patrick Osborne
61244,Robert Vince
138006,Frederick Wiseman
88939,Donald G. Jackson
261224,Brian Desmond Hurst
55161,Michael Keusch
42,Lars von Trier
608,Hayao Miyazaki
240036,Maroun Bagdadi
45672,Bruno Mattei
145162,Lyes Salem
92905,Rick Stevenson
35735,Nikhil Advani
146439,James Ward Byrkit
1421857,Lina Mannheimer
47062,Daniel Lind Lagerlöf
93906,Robert Z. Leonard
65452,Mike Leigh
15868,Uli Edel
76381,David Butler
99440,Mino Guerrini
131096,Dennis Dimster
19606,Jean Negulesco
130311,Paul Middleditch
1107266,Max McGuire
55789,Tate Taylor
82714,Alan Clarke
1088277,Ernesto Cabellos
1375751,Daniel Ray
55968,Rodolphe Marconi
134026,Huang Jianxin
1263750,Dano Johnson
7187,Richard Donner
32603,Teodoro Maniaci
1060223,Sacha Polak
1316819,Ryan Murdock
117370,Park Kwang-hyun
131184,Phillip J. Roth
54590,Steve Rash
1215282,Lynne Stopkewich
49892,Fernando Di Leo
13899,G.W. Pabst
1186076,Philippe Lacheau
8577,César Charlone
11431,Ford Beebe
33166,René Clair
30811,Richard Gordon
32765,Tony Richardson
78069,Eric Le Roch
1299390,Jin Shan
1010138,Melville Shyer
60046,Tim Garrick
1148226,John Corry
56911,Les Mayfield
6111,Mike Figgis
575126,Ole Giæver
10249,Volker Schlöndorff
78523,Marek Kanievska
1700106,Manuela Burló Moreno
64194,Paweł Pawlikowski
68687,Bill Forsyth
225899,Jörg Ihle
11434,Wilfred Jackson
10965,Chris Columbus
553096,Daniel Toland
133094,Harry Revier
1155323,Gin Yeung-Chi
112141,Tetsu Kimura
67426,William Keighley
146793,Alberto Lattuada
863070,Abbas Fahdel
59584,David Petrarca
35959,James Huth
64061,Fred Schepisi
240555,Naum Birman
1146974,Kinji Yoshimoto
1362555,Lu Yang
7145,Michael Lehmann
83399,H. C. Potter
1181022,Zach Lipovsky
1421868,Jirô Shôno
130030,Chantal Akerman
49903,Tim Hill
72206,Robert Pulcini
128280,Yevgeni Tatarsky
606084,Max Fleischer
24989,Kim Hyun-suk
1364459,Tapio Suominen
238118,Vitali Melnikov
39138,Jean Girault
82482,Greg Pritikin
16785,Peter Webber
1364419,Petrus Cariry
84369,Eugene Jarecki
89193,Carlo Verdone
1144650,Gian Luigi Polidoro
57206,Sally Potter
1148322,Makis Papadimitratos
98750,Trevor Nunn
21678,Olivier Assayas
6046,Roland Emmerich
32250,Sean Ellis
1653774,Thomas Della Bella
56539,Nicole Holofcener
2746,Elia Kazan
1785844,Peter Malota
995513,Max Zähle
220368,Deborah Perkin
67411,Stan Dragoti
89226,William Nigh
109744,Ryan Polito
52691,Anthony Stacchi
96118,Darren Dunstan
74566,Yves Simoneau
126763,Vivek Agnihotri
116607,Stephen Poliakoff
37626,Patrice Leconte
1645102,Jason Miller
545675,Claude Jutra
33722,Ray Danton
73654,Catherine Corsini
76451,Vijay Krishna Acharya
40,Orson Welles
35452,Corey Yuen Kwai
357,Hany Abu-Assad
213485,Andreas Öhman
48566,Alf Sjöberg
45055,Andrew Hulme
1149892,Panos Glykofrydis
1249974,Koji Masunari
120753,Lynn Shores
83996,Bradford May
37948,Brad Anderson
97618,David DeCoteau
150143,Björn Br. Björnsson
985706,Adam Cornelius
57022,Josef Fares
82389,Norman Z. McLeod
1182398,Katrin Ottarsdóttir
21506,George Sidney
1028310,Khavn
1308987,Dan Sickles
71923,Shane Acker
1665174,Eric Notarnicola
13615,Harry Elfont
226552,Blair Treu
23227,Steven Knight
1118236,Nabi Ganiyev
48084,Harald Sicheritz
142013,Gareth Evans
26502,Howard Deutch
112674,Rolf de Heer
109253,Costa Botes
6155,Kristoffer Nyholm
124135,Jim Sotos
183,Kouji Morimoto
589507,Ryszard Zatorski
100888,Chuck Jones
120837,Ron Satlof
2388,Jonathan Frakes
1057579,Tatsuya Nagamine
50870,Alexander Kluge
16888,Ralph Nelson
57239,Jeff Lieberman
142594,Les Blank
139540,Gregori Viens
119294,Abbas Kiarostami
1074319,Mojtaba Mirtahmasb
89794,Maxwell Shane
236535,Paul Vecchiali
1294627,Yoo Ha
1384516,Alex Rudzinski
33094,Gary Sherman
91569,Simon Pummell
1346895,Caito Ortiz
52629,Joseph Ruben
1082114,Timothy Bjorklund
43513,Graham Baker
126714,Arvin Chen
56033,Enzo Barboni
13581,Brian Levant
139350,Gail O'Hara
444720,Andrés Baiz
1218304,David Elliott
1540871,Annika Iltis
167436,Camilo Vila
11435,Howard Hawks
1190105,Tom DeNucci
9168,Alan Parker
5872,Joshua Marston
110588,Conrad Rooks
1496450,Ilya Chizhikov
1014557,Frédéric Tellier
19799,Mark Medoff
10346,Robert Bresson
107065,Arthur Marks
1109533,Keva Rosenfeld
138699,Patxi Amézcua
15127,Luchino Visconti
48965,Anthony Hickox
17282,Takashi Miike
84981,Brian Trenchard-Smith
31898,Luciano Salce
69987,Jérôme Salle
86038,Josh Crook
14597,Gaspar Noé
29962,King Vidor
1311707,Shuko Murase
1128289,Thomas Imbach
8246,Barry Levinson
146512,Thanakorn Pongsuwan
130630,Henri Decoin
18209,Claude Miller
24346,Roy Allen Smith
504,Tim Robbins
1105733,Ranjith Sankar
233912,Álvaro Brechner
122673,Wendy Jo Carlton
1492311,Christopher Louie
1338679,Cacau Rhoden
56947,Peggy Rajski
6349,Alan J. Pakula
1380177,Michael Dunaway
44866,Edwin S. Porter
53334,Jim Sheridan
95568,Peter Watkins
71551,Lorene Scafaria
969806,Tommi Lepola
1380783,Teemu Kaskinen
135163,Susan Streitfeld
14293,Frank Launder
161667,Stuart Hagmann
1037296,Dylan C. Brown
2406,Mathieu Kassovitz
55441,David Boyd
58189,Justin Lin
1210377,Toby Amies
40940,Gerald Thomas
1389033,Alex Goyette
548474,Wong Jing
1157689,Tony Gerber
62941,John Hyams
27977,Leos Carax
55761,Veit Harlan
92015,Lu Chuan
228643,Morgan Neville
12624,Niels Mueller
1044,Michael Chapman
144821,Vsevolod Pudovkin
578,Ridley Scott
95148,Sutton Roley
1622145,Mario Bianchi
3702,Sebastian Schipper
75474,Anna Campion
116531,Travis Betz
3227,Steve Pink
1374852,Eulogio Nishiyama
4617,Andreas Dresen
99049,John Johnson
109586,Tom Hunsinger
98389,Devin McGinn
19346,Niels Arden Oplev
239729,Pavel Arsyonov
1202563,Kelvin Kwan
17268,Ronny Yu
1193907,Anton Lanshakov
70109,Benny Chan
102668,Arnold Fanck
1572136,William A. Kirkley
12160,Satyajit Ray
97591,Joel Anderson
1445413,Ilya Chaiken
56339,Yoshiaki Kawajiri
562589,Alexandra-Therese Keining
143628,Alla Surikova
234684,Fred Garson
1046507,Demofilo Fidani
87510,Carlos Sorin
236421,Denis Côté
12891,Joss Whedon
25161,Marcel Carné
33317,David Leland
61798,Warwick Ross
20718,Claude Berri
1093690,Franco Lo Cascio
143679,Vera Storozheva
30293,Arthur Rosson
569209,Louis Aimé Augustin Le Prince
99325,Stuart Walker
205298,Eric Weston
59023,Stewart Raffill
1709468,Gerard McMurray
54525,Jaume Balagueró
992714,Michael Matessino
79279,Paco Cabezas
18844,John Madden
33300,Jonathan King
1299838,Michael Wilson
182700,Alexander Grasshoff
62303,Henry Crum
1153824,Burton King
57833,Koan Hui On
30058,Steven C. Miller
12180,Mamoru Oshii
1186851,Stéphane Berla
1615516,John Palmer
96166,John Curran
1744,Robert Wise
141962,David Bruckner
109314,Don Hertzfeldt
40599,Robert Day
16863,Todd Haynes
81297,Mark Atkins
7499,Jared Leto
1330498,Rania Attieh
99859,Tim McCann
21712,Carl Franklin
114109,Matt Vancil
548066,Kwon Nam-Ki
62897,Carl Bessai
57214,Prachya Pinkaew
1071,Tom Tykwer
107720,Dmitriy Kiselev
102214,John Carr
118303,Nacho Vigalondo
18204,Peter Kassovitz
5174,Barry Sonnenfeld
133259,Arthur Hiller
51866,Rick Famuyiwa
1200020,Delphine Lehericey
1031204,Sólveig Anspach
10610,Gregory Ratoff
1090,John McTiernan
8820,Joseph Henabery
97567,Graham Cutts
144536,Shinsuke Sato
34751,Ray Enright
98199,Jerry Schatzberg
12238,David Lean
76021,Griff Furst
84978,Joe Tornatore
71871,Sergei Bodrov Jr.
133873,Aisling Walsh
102511,Attila Dargay
1166744,Frank Ishizaki
23683,Tony Cervone
813,Pierre Unik
61440,Lance Bangs
31654,Chris Smith
46712,Douglas Sirk
31024,Betty Thomas
1059261,Norman Lee
19328,Dick Powell
1630053,Darin Beckstead
230542,Ivan Sen
4723,Brian Helgeland
40345,Don Bluth
1038646,Gréta Olafsdóttir
119405,Min-Ho Cho
155598,Leslie Libman
1368165,Belinda Sallin
227438,Stephen Anderson
1441577,Bitte Andersson
583203,Tomoyuki Takimoto
1065008,E. Niwas
56983,Rodney Gibbons
35256,Damiano Damiani
13848,Charlie Chaplin
1368957,Michael Paris
66739,Jonathan Liebesman
87009,Del Shores
1305564,Martti Helde
588229,Ranjith
237583,Juan Martínez Moreno
1074721,Enrique Gato
28523,Dietrich Brüggemann
150519,Will Cowan
98385,Chuck Vincent
24886,Frédéric Forestier
117773,S. Sylvan Simon
29744,John Hayes
141065,Alfred J. Goulding
1525408,Sara Fishko
499981,Nic Auerbach
59,Luc Besson
40187,David Lowell Rich
9994,Helen Hunt
76998,James Marsh
937007,Miguel Ferrari
935159,Keith Miller
150127,Pang Eun-jin
2636,Alfred Hitchcock
12329,Vittorio De Sica
1299424,Lawrence Jordan
939406,Elan Gale
1041408,Ravi Kapoor
989687,Jordan Galland
124919,Pantelis Voulgaris
150964,Jeff Krulik
227824,Hans-Jürgen Syberberg
112914,David DeFalco
233331,Arthur Barron
587559,David Hickson
61797,Yahoo Serious
179236,Patrick Archibald
143036,Wu Nien-Jen
56359,Lexi Alexander
130945,Montgomery Tully
103586,Simon Shore
229307,Ounie Lecomte
15254,Emir Kusturica
10001,William Wyler
1064513,Kazuhisa Takenouchi
937340,Harold Cronk
70862,Richard Thorpe
103699,Gary Yates
33008,Menahem Golan
20600,Daniel Taradash
87742,Marc Webb
21171,Gérard Jugnot
30309,Peter Greenaway
17247,Po-Chih Leong
12327,Joseph M. Newman
1232592,Chris Eyre
10713,Eric Idle
13981,Irving Brecher
67259,Ching Siu-Tung
82829,Michael Oblowitz
101767,Robert Butler
38527,Robert Lepage
78481,Hans Canosa
12453,Wong Kar-wai
219783,David Gregory
567816,Orlando Lübbert
996539,David Lee Miller
25950,Jean-Paul Rappeneau
104243,Florian David Fitz
52140,Charles B. Griffith
3849,Tage Danielsson
83922,Joseph Ariola
51073,Gustav Ucicky
93003,Aleksi Salmenperä
148747,Jang Hoon
1468019,Allan Miller
94159,Kôji Kawano
40549,Daniel Petrie
55884,Peter Lindmark
131327,Salvatore Samperi
64331,Shim Hyung-Rae
139829,John Srebalus
40508,James Cox
86051,Joshua Logan
39104,Abel Ferrara
2209,Jan de Bont
1027017,Dan Cutforth
5763,Jacques Tati
1227885,Dearbhla Walsh
1223625,Dominic Polcino
228086,Marek Koterski
408,James Keach
103467,William J. Hole Jr.
929825,Ava DuVernay
71600,Seth Gordon
1078811,Yvonne Rainer
229931,Asghar Farhadi
543946,Hall Bartlett
591500,Karlheinz Martin
68,Fritz Lang
88926,Armando Iannucci
58861,Russell Rouse
11195,Gérard Oury
1451750,Henry Hughes
9915,Guy Hamilton
105802,Doug Pray
18738,George Stevens
1285876,Chapman Way
257772,João César Monteiro
940711,Bob Dahlin
72624,John Duigan
138205,Anders Engström
19069,Claude Chabrol
58448,Penelope Spheeris
2917,James Whale
125457,Tibor Hernádi
556711,Hannes Holm
67367,Rian Johnson
107817,Benjamin Turner
222545,Pekka Parikka
25340,Emmanuelle Bercot
1009298,Goran Paskaljević
1011,Susanne Bier
130424,Rafal Zielinski
143561,Sam Taylor
1334114,James Tuchschmidt
10781,Michael Apted
148010,Pekka Lehtosaari
231199,Axelle Carolyn
110464,Paul Justman
66718,Alan Mak
1863287,Sung-hoon Kim
44765,William Lustig
1019956,Tulsi Ramsay
33954,Spencer Gordon Bennet
56828,Christopher Cain
63713,Martha Coolidge
120796,Howard Bretherton
84885,Mona Achache
1239775,Geoff Lapaire
100793,Reginald Le Borg
1582316,Phillip Escott
119430,Luigi Comencini
10723,Mike Newell
43553,Jerzy Skolimowski
486,Wallace Wolodarsky
96372,Tom Clegg
1026085,Elgin James
1290853,Ron Chapman
72197,Ferzan Ozpetek
107235,Pierre B. Reinhard
543289,Cathy Randall
66228,Karim Hussain
139153,Max Giwa
1496406,Yuefeng Song
77919,Tim McCanlies
5446,David Hand
14855,Frank Borzage
67767,Hal Needham
66109,Ben Verbong
135931,Brendan Cowles
129879,Kim Chapiron
37126,Jean-Paul Le Chanois
1098436,Gerald O'Hara
1140278,Robert Berger
52443,Jason Reitman
49281,Chris Sivertson
82657,Mike Slee
1628036,Raúl Campos
15305,Rick King
137195,Stevie Wermers
1274445,Keiichirou Kawaguchi
39996,Sidney Lumet
37451,Jean-Jacques Beineix
4339,Paul Crowder
94744,Zhang Yibai
36148,Richard Pepin
574246,Alejandro Javaloyas
2182,Pen Densham
112585,Rick Goldsmith
589610,Stevan Riley
592883,Jack Bravman
1607982,Robert Mrazek
543674,Sergey Loznitsa
83198,Allan Arkush
121256,Mauritz Stiller
57048,Casey La Scala
1002601,Lisandro Alonso
10930,Irvin Kershner
45577,Claudio Fragasso
521284,Kristijan Milić
1081884,Keith Behrman
1198233,Pacho Velez
52094,Jerry Jameson
78040,Alex Kendrick
109680,Mark Jean
1378034,Antonia Bogdanovich
176794,Rosemary Rodriguez
1194748,Derek Lee
17700,Christian Zübert
71929,Benoît Delépine
145702,Leslie Pearce
6159,Ron Howard
53782,Jean-Pierre Gorin
586480,Billy Chung
180868,Clay Borris
225109,Mario Martone
1135153,Étienne-Jules Marey
55934,Taika Waititi
57130,Todd Phillips
518226,Steve Moore
67632,Peter Markle
13015,Phillip Noyce
938171,Juan Padrón
88823,Jason Stutter
1043404,Michael Roemer
58384,Anthony Waller
1269467,Keiichi Ozawa
1032558,Paul Krasny
931252,Vladimir Toropchin
1692466,Lasse Braun
84429,Audrey Dana
236856,Ivan Pyryev
962903,Celina Murga
3950,Len Wiseman
1556646,Indar Dzhendubaev
73150,Paul Wendkos
77008,Fred Cavayé
133398,Quentin Dupieux
82618,Mike Robe
1723496,Christopher Jacobs
22686,Maria Schrader
1006823,Andrew Thompson
146275,Joseph Graham
3359,Laurence Olivier
66226,Buddy Van Horn
236820,Yevgeni Tashkov
4346,Ted Tetzlaff
29625,Peter Godfrey
63937,Albert Pyun
16767,Aki Kaurismäki
1179828,Pamela Romanowsky
17278,Nick Gomez
26850,Eduardo Sánchez
84929,Ed Blum
35525,Richard T. Heffron
1386522,Michelle Boyaner
257628,Kira Muratova
935910,Javier Soto
9049,Victor Fleming
20548,Ruy Guerra
1403970,Yu Nakai
37710,Peter Hyams
20025,Shôhei Imamura
122905,Lance Comfort
1565972,Lee Il-hyeong
129097,Aaron Woodley
9888,Claire Denis
1174236,Patrick McManus
68574,Brad Copeland
931794,Émile Cohl
236959,Arto Halonen
13802,Dudley Nichols
55006,Olle Hellbom
61175,John Whitesell
550044,Jonathan Karsh
549426,Aleksandr Zarkhi
80172,Marty Callner
69392,Charles Walters
1188038,Julie Cypher
97773,Anne Wheeler
10586,Richard Lester
100645,Michael Fischa
41550,Andrew Bergman
1498350,Jamie M. Dagg
135604,Kathrine Windfeld
80570,Walter Lang
229942,Jeong Yoon-soo
67924,Steno
1079336,Skip Gerson
132305,Nobuhiko Ôbayashi
1868,Louis Lumière
1196721,Georges Demeny
44130,Paul Lynch
1426099,Jamie Gallant
54222,Jean-Paul Salomé
1434341,Jim Issa
122904,Greg Barker
85009,George Basha
579280,Leythum
88837,Larry Blamire
38393,Marcel Pagnol
1256012,David G. Hillier
79132,Anna Reeves
933278,Martin Huberty
37361,Anatole Litvak
9182,Marshall Herskovitz
586734,Evelyn Purcell
89255,Ralph Brooke
1075843,Jerzy Domaradzki
77752,John Cafiero
37627,Dany Boon
32277,Geoff Murphy
42309,Tibor Takács
123515,Alex Karpovsky
26775,Liu Chia-Liang
136868,Nicolás Entel
226019,Rachid Dhibou
11090,Edgar Wright
100296,Peter Sasdy
19359,Marina de Van
1586194,Jenny Gage
672,Oskar Roehler
47005,Alan Taylor
129952,Sean McNamara
934994,Tengiz Abuladze
39648,Leila Conners
78720,Chris Bell
56736,Xavier Palud
73256,David Miller
557179,Ed Gass-Donnelly
80586,Roberto Faenza
17403,Mike Judge
1031176,Juan Vicente Córdoba
57027,Louis D'Esposito
18579,Burt Kennedy
1068135,Kiyo Sumi Fukazawa
80630,Martin Koolhoven
18320,Bronwen Hughes
1243,Woody Allen
105976,Jake Kennedy
21819,Lewis Teague
1311644,Luciano Saber
87877,Roar Uthaug
83718,Neil Turitz
1388732,Johan Bromander
87550,Vishal Bhardwaj
21475,John Putch
88391,Jeremy Podeswa
107658,Lev L. Spiro
88040,Jason Bourque
1312056,Marie Amachoukeli
56477,Michael Schaack
1037658,James H. White
1164972,Giddi Dar
12080,Conrad Vernon
548816,Pierre Étaix
1017258,Brett Sullivan
50577,Norman Panama
11037,Lukas Moodysson
22461,Vincent Gallo
1257891,Sammy Jackson
53177,Brian Robbins
1479990,Kimberly Levin
1488111,Ben Chessell
108987,William A. Seiter
93587,Daryl Duke
84034,Clarence Brown
93923,Cedric Sundstrom
