movieId,movieName,movieDuration,movieBudget,movieReleaseDate
78072,Where Sleeping Dogs Lie,95,0,11-13-1991
16934,Jimi: All Is by My Side,118,0,09-07-2013
29971,Jesse Stone: Thin Ice,88,0,03-01-2009
257211,Ishtar,107,55000000,05-15-1987
84140,Smiley,90,0,10-12-2012
123334,The End,110,0,05-10-1978
53010,The Best and the Brightest,93,0,01-01-2010
115909,Beethoven's 2nd,89,15000000,12-14-1993
162505,Jim Breuer: Comic Frenzy,58,0,05-29-2015
55952,Mondo Trasho,95,2100,03-14-1969
20177,Airport 1975,107,3000000,10-18-1974
90807,Tammy,97,20000000,07-02-2014
151687,Merry Kissmas,89,0,12-05-2015
21867,A Chump at Oxford,63,0,02-16-1940
63045,Wild Child,98,20000000,01-01-2008
131898,Down to the Cellar,15,0,10-31-1983
23194,Vixen!,70,76000,10-15-1968
68426,The Whip Hand,82,0,10-01-1951
15716,Brand Upon the Brain! A Remembrance in 12 Chapters,95,0,05-09-2007
40456,Three Brave Men,88,0,12-01-1956
131861,Vääpeli Körmy ja etelän hetelmät,0,0,10-09-1992
112722,True Crime,94,0,03-12-1996
42630,The Most Beautiful,85,0,04-13-1944
52406,Old San Francisco,88,0,09-04-1927
177703,Resident Evil: Vendetta,97,0,05-27-2017
147264,The Little Matchgirl,7,0,09-07-2006
47933,The Short Game,100,0,09-20-2013
127864,Miss Meadows,88,2000000,09-12-2014
15414,Pandaemonium,124,0,06-29-2001
49411,Nails,60,0,10-01-2003
400014,The Young Poisoner's Handbook,99,0,01-20-1995
16405,Nayakan,145,0,07-01-1987
42597,The Intern,121,35000000,09-24-2015
41785,Dangerous Men,80,0,09-23-2005
88138,TV Junkie,89,0,08-03-2006
69499,La Chance de ma vie,87,5000000,01-05-2011
343921,Turn of the Screw,119,0,10-10-1985
12103,One Way or Another,78,0,04-02-1978
116008,Xtro 2: The Second Encounter,92,0,05-04-1990
47694,Super Capers,98,0,01-01-2009
237139,Home of the Brave,88,0,05-12-1949
104476,Charlie Muffin,104,0,12-11-1979
31411,Lady Jane,142,8500000,02-07-1986
17708,Textuality,90,0,04-22-2011
434234,This Earth Is Mine,124,0,06-26-1959
18562,The Hallelujah Trail,165,0,06-23-1965
214436,Get Bruce!,82,0,01-01-1999
26515,The Pirates of Penzance,112,0,02-18-1983
9043,The Viking Queen,91,0,03-25-1967
422469,An American Dream,103,0,08-31-1966
35128,Louis Theroux: Behind Bars,60,0,08-08-2008
182246,Lady in Cement,93,0,11-19-1968
28480,Fresh,72,412000,05-26-2009
74523,Broadway Idiot,81,0,10-18-2013
37222,The Outsider,0,0,12-04-2005
126421,Independence Day: Resurgence,120,165000000,06-22-2016
201633,Blancanieves,104,0,09-21-2012
20321,Land of the Blind,110,0,01-01-2006
67659,WUSA,115,0,08-19-1970
123648,God's Compass,103,0,04-21-2016
290,Dust,127,0,08-29-2001
43584,The Owl and the Pussycat,95,0,01-01-1970
11851,Cabeza de Vaca,111,0,10-11-1991
53567,Dear Pillow,84,0,01-18-2004
2323,Naan Kadavul,150,0,02-06-2009
452142,A Deadly Adoption,90,0,06-20-2015
259719,Don't Say a Word,113,50000000,09-28-2001
339312,Chicago Cab,96,0,01-01-1997
98103,Temptress Moon,130,0,05-09-1996
281524,McDougal's Rest Farm,0,0,01-30-1947
113458,The Bewitched Inn,2,0,01-01-1897
252144,The Cameraman,76,0,09-16-1928
42870,Corky Romano,86,11000000,10-12-2001
360205,Hickey,85,0,01-10-2017
269340,Gung Ho!,88,0,12-20-1943
22549,Maria,97,0,11-21-2003
32229,Pumpkinhead,86,3500000,06-09-1988
250349,The Family Stone,103,0,12-14-2005
227156,I Am Bolt,107,0,11-28-2016
139230,Edge of Fury,77,0,05-01-1958
7553,11.6,102,0,04-03-2013
350849,Phantom,125,0,11-13-1922
93091,Born To Race,99,0,03-19-2011
185768,The V.I.P.s,119,0,05-01-1963
340677,Seven Dollars on the Red,85,0,03-16-1966
40628,Motion Picture ('La sortie des ouvriers de l'usine Lumière à Lyon'),3,0,01-01-1984
271969,Close Your Eyes,108,0,02-01-2002
39928,Guns for San Sebastian,111,0,03-20-1968
360603,The Land,130,0,01-01-1969
34586,Barton Fink,116,9000000,08-01-1991
86190,Sacred Heart,0,0,02-25-2005
129806,The Presidio,97,0,06-10-1988
9289,Thale,76,0,02-16-2012
42632,Field of Dreams,107,0,04-21-1989
22345,Maigrets Night at the Crossroads,88,0,04-16-2017
44256,Getulio,100,0,05-01-2014
48764,A Nightingale Falling,110,0,09-12-2014
18843,Summer Job,92,0,03-03-1989
52538,The Hooligan Factory,90,1000000,06-13-2014
316179,Mother Joan of the Angels,110,0,02-09-1961
185752,Get Christie Love!,74,0,01-22-1974
2576,Creatures from the Abyss,86,250000,01-01-1994
27502,Invoked,85,0,08-17-2015
48193,The Fatal Encounter,135,0,04-30-2014
41291,Ulysses' Gaze,176,0,05-24-1995
62124,Explosive City,99,0,01-01-2004
24696,Barbecue,98,6000000,04-30-2014
85483,The Giver,94,25000000,08-11-2014
9950,The Return of the War Room,82,0,10-13-2008
44645,Waiting...,94,3000000,10-07-2005
87673,La Novia,93,0,12-11-2015
54795,Crazy Eyes,95,10000000,07-06-2012
298614,Boy Crazy,25,0,01-26-2009
436994,I.T.,96,13000000,09-09-2016
150049,Two Bits,85,0,10-22-1995
14576,Ben-Hur,125,100000000,08-17-2016
77882,H6: Diary of a Serial Killer,92,0,01-01-2005
122767,Crown for Christmas,84,0,11-27-2015
337641,Kandahar,103,7000000,02-04-2010
41012,Adventures Of A Taxi Driver,89,0,04-30-1976
61348,The Rumyantsev Case,103,0,06-06-1955
50081,The Longest Day,178,10000000,09-25-1962
99650,Monterey Pop,78,0,12-26-1968
253775,Baby Geniuses,97,12000000,03-12-1999
13562,Razzia,101,0,04-16-1955
91552,The Trial of Joan of Arc,65,0,05-30-1962
117978,Dr. Dolittle 3,95,0,04-25-2006
9061,Mariages !,0,0,04-21-2004
48341,Tired Moonlight,76,0,01-22-2015
52517,Albino,97,0,03-15-1976
36049,The Diary of Anne Frank,180,3000000,03-18-1959
35124,The Monster,86,0,03-16-1925
377431,Ator the Iron Warrior,82,0,01-09-1987
65086,One from the Heart,107,0,02-12-1982
19592,Murderous Maids,94,0,11-22-2000
128412,Tom and Jerry: A Nutcracker Tale,46,0,10-02-2007
406808,Something Evil,73,0,01-21-1972
129277,Find Me Guilty,125,13000000,03-16-2006
9591,Bruce Lee: The Legend,88,0,01-01-1984
15919,No Blood Relation,94,0,12-16-1932
178809,Keep the Aspidistra Flying,101,0,11-20-1997
316015,Do Not Disturb,79,0,12-31-2014
30074,Lucid Dream,101,5000000,02-22-2017
8435,The New Watchdogs,0,0,01-10-2012
40264,Shade,101,6800000,05-18-2003
29204,The Rise and Rise of Michael Rimmer,94,0,11-12-1970
90086,Ground Zero,109,0,10-01-1987
13700,Naked,61,0,11-07-2014
14746,Dollybirds,100,0,02-20-1997
118955,The Lost Valentine,100,0,01-30-2011
62425,Born to Be Wild,40,0,04-08-2011
161303,Skyscraper,90,650000,09-15-2011
22466,The Devil's Path,128,0,09-21-2013
1987,My Man Godfrey,94,0,09-17-1936
68750,The Year of the Tiger,82,0,07-31-2011
42011,In Their Skin,96,4000000,11-09-2012
370665,Just Cause,102,0,02-17-1995
3176,License to Live,109,0,01-23-1999
85927,State Fair,97,0,02-10-1933
10762,Rich and Strange,83,0,12-10-1931
22843,Nazarin,94,0,05-11-1959
24202,Appetite For Love,85,0,02-06-2016
14555,The Woman in Black,95,17000000,02-01-2012
89345,Dead Birds,91,1500000,01-01-2004
323552,Falling Leaves,91,0,01-01-1966
160329,In the Blood,104,0,09-15-2016
32075,Two-Legged Horse,101,0,01-01-2008
30695,That Thing You Do!,108,0,10-04-1996
10069,Marty,90,343000,04-11-1955
67220,The Colony,95,16000000,04-12-2013
140781,My Life as a Dead Girl,84,0,01-01-2015
72826,Scooby-Doo! And the Legend of the Vampire,72,0,03-04-2003
5592,A Cock and Bull Story,94,0,07-17-2005
58159,Vampires Suck,82,20000000,08-18-2010
77866,American Pop,96,0,02-13-1981
124069,Devil's Angels,84,0,04-14-1967
26137,Home on the Range,76,110000000,04-02-2004
44859,Streets of Fire,93,14500000,06-01-1984
200157,The Chapman Report,125,0,10-05-1962
69324,Talking Funny,50,0,04-22-2011
34564,The Playroom,83,0,02-06-2013
158990,Rover Dangerfield,74,0,08-02-1991
31046,Benny's Video,105,0,04-14-1993
50787,Rapid Fire,90,0,01-01-2006
26963,A Taxing Woman,127,0,02-07-1987
46451,Dilwale,158,26000000,12-18-2015
342831,Battle Royale,114,4500000,12-16-2000
29146,India Song,120,0,06-04-1975
1632,Without a Paddle,95,19000000,08-20-2004
57510,Evangelion: 2.0 You Can (Not) Advance,108,0,06-26-2009
254047,Blind Date,80,0,05-16-2007
389630,Sagan,180,0,06-11-2008
146322,Bloody Murder,88,0,09-12-2000
192936,Jay Mohr: Happy. And A Lot.,67,0,03-14-2015
55156,Lightheaded,5,0,08-04-2009
129517,A Dry White Season,97,0,01-01-1989
395763,Chance Pe Dance,158,0,01-15-2010
178103,Stay Alive,100,9000000,03-24-2006
187010,Hard Contract,106,4000000,04-30-1969
152206,Daylight,74,0,07-17-2011
176037,Legend of Dinosaurs and Monster Birds,92,0,04-29-1977
42722,A Girl Cut in Two,115,0,08-08-2007
36843,The Tortoise and the Hare,9,32671,01-05-1935
317213,Contraband,109,25000000,01-12-2012
16186,Far Out Isn't Far Enough: The Tomi Ungerer Story,98,0,10-15-2012
22897,Electric Shadows,93,0,09-11-2004
75736,Mortuary,91,0,09-02-1983
50066,Walking with Beasts,180,0,12-21-2001
149691,Rain,92,0,05-14-2001
53446,Shrimp on the Barbie,90,0,08-31-1990
9714,Wrong Cops,83,0,12-18-2013
377136,Jesse Stone: Stone Cold,87,0,02-20-2005
36067,Going to Pieces: The Rise and Fall of the Slasher Film,88,0,10-13-2006
50363,The Secret of Kells,75,0,02-09-2009
38749,All American Orgy,98,0,08-10-2010
40249,Sherlock Holmes,116,0,06-30-1916
291851,Charly,103,950000,09-23-1968
121749,Mississippi Burning,128,15000000,12-08-1988
44781,Ethos,72,500000,01-01-2011
299511,The Wedding Pact,91,0,02-04-2014
4457,All We Had,105,0,12-09-2016
14289,Running,102,0,10-30-1979
43495,Frank Herbert's Children of Dune,248,20000000,03-25-2003
21454,Hail the Judge,106,0,01-01-1994
36073,Yuma,113,0,08-03-2012
2701,In the Shadow of Iris,99,0,11-16-2016
167305,The Rising of the Moon,81,0,08-10-1957
123723,Buck Wild,90,0,04-01-2013
11451,National Lampoon's Favorite Deadly Sins,99,0,11-12-1995
47184,Supermarket,84,0,12-28-2012
11495,The Nun,135,0,12-31-1966
106482,Life Is Sweet,103,0,11-15-1990
34134,The Twin Girls of Sunset Street,12,0,02-10-2010
46691,Diary of a Mad Black Woman,116,0,02-25-2005
10987,It's Complicated,121,85000000,12-23-2009
138544,Catch.44,93,7000000,12-08-2011
82151,Mrs. Parkington,124,0,10-12-1944
381418,Kill Django...Kill First,86,0,02-05-1971
40001,Blue Skies,104,0,10-15-1946
109472,Home Alone 3,102,32000000,12-12-1997
18643,Liquidation,644,0,01-10-2007
84333,13 Lakes,135,0,10-20-2004
35698,Summertime,99,0,01-01-1955
67387,Jack the Bear,99,0,04-02-1993
79094,They Nest,92,4000000,01-01-2000
280134,Field of Lost Shoes,96,0,03-30-2015
8391,Is It Easy to Be Young?,83,0,06-06-1986
106134,Electrical Girl,89,0,04-26-2001
9459,Steak (R)évolution,135,0,11-05-2014
40016,Witchery,95,0,12-01-1988
41077,Fire Down Below,105,60000000,09-05-1997
137801,The Seventh Veil,94,0,10-18-1945
4558,Kiss of Death,98,0,08-27-1947
34148,Guinea Pig 2: Flower of Flesh and Blood,42,0,10-07-1985
43231,Abraham,175,10000000,04-03-1994
286256,Kill for Me,95,0,02-12-2013
9034,Gigi,82,0,10-05-1949
89326,Herbie Fully Loaded,101,50000000,06-22-2005
198663,Repast,97,0,11-23-1951
360339,Firestarter,114,15000000,05-11-1984
53459,Pyrates,91,0,12-18-1991
42266,Barbie in A Mermaid Tale,75,0,01-26-2010
141489,Joe,107,106000,07-15-1970
117592,Halloween: The Curse of Michael Myers,88,5000000,09-29-1995
305747,American Horror House,85,0,10-13-2012
35453,Haack ...The King of Techno,70,0,01-19-2004
41661,Sanam Teri Kasam,154,0,02-05-2016
12133,Mrs. Winterbourne,105,25000000,04-19-1996
341984,The Girl,0,0,06-06-2001
72190,Follow That Dream,109,0,01-01-1962
167012,Save the Date,98,0,12-14-2012
10832,The Star of Bethlehem,63,0,10-23-2007
109894,Assault of the Killer Bimbos,85,0,05-06-1988
17978,Return of Django,95,0,05-26-1967
160019,The Sweet Ride,110,0,06-12-1968
86209,When Night Is Falling,96,0,05-05-1995
13384,Meanwhile,60,0,11-29-2011
42716,Woodstock,225,600000,03-26-1970
64142,Birdemic: Shock and Terror,95,0,02-27-2010
84626,Son of the White Mare,81,0,10-22-1981
33150,Nobody Knows Sex,95,0,03-15-2006
391975,Orpheus,95,0,09-29-1950
26426,Imitation of Life,125,0,01-01-1959
123182,Le Notti Bianche,101,0,07-06-1957
120771,Tim Maia,140,0,10-30-2014
50114,The Banger Sisters,98,10000000,09-20-2002
71117,96 Minutes,93,0,10-14-2011
33504,The Maze Runner,113,34000000,09-10-2014
41164,Eden,97,2300000,10-22-2015
70738,F,79,1300000,09-07-2010
186982,The Romantic Englishwoman,116,0,06-11-1975
47979,Hamlet from the Lunt-Fontanne Theatre,191,0,09-23-1964
11518,The Seahorse,15,0,01-01-1934
4192,Hoovey,90,2,01-31-2015
94009,The Last Chase,101,0,04-01-1981
18923,The Night We Never Met,99,0,04-30-1993
7551,Step Brothers,98,65000000,07-25-2008
93407,Back to the Jurassic,86,0,06-09-2015
31547,World War Z,116,200000000,06-20-2013
71016,The Wish List,88,0,08-27-2010
105506,Them,77,0,07-19-2006
45261,Hide Away,88,0,05-25-2012
11543,The Great White Hope,103,0,10-11-1970
431093,Crash Dive,87,0,03-28-1997
826,Fighting Mad,90,600000,02-21-1976
46760,Kes,110,0,11-18-1969
264164,Assault on a Queen,106,0,06-15-1966
33091,Three Smart Girls,84,0,12-20-1936
71982,Nukie,106,0,10-19-1988
10312,Howard Zinn: You Can't Be Neutral on a Moving Train,78,0,06-18-2004
60703,2 Lava 2 Lantula!,85,0,08-06-2016
48949,A Show of Force,95,0,05-11-1990
102862,Coastlines,110,0,01-15-2002
44507,Bloody Bloody Bible Camp,90,0,05-25-2012
116780,Tyson,110,0,04-29-1995
21575,Woman of Water,115,0,09-12-2002
256740,El Bola,83,0,10-20-2000
109913,Talent for the Game,91,0,04-26-1991
57240,Midnight Mary,74,0,06-30-1933
116569,Passione sinistra,0,2500000,04-18-2013
70804,Vincent Wants to Sea,96,0,04-21-2010
8223,Love Stories,216,0,10-27-2000
8488,Death on the Nile,140,7920000,10-06-1978
199715,Born Reckless,82,0,06-06-1930
14254,A Home at the End of the World,96,6500000,07-23-2004
23587,Déjà Vu,126,75000000,11-22-2006
36107,Animal,103,0,01-11-2005
70044,Şaban Oğlu Şaban,90,0,12-01-1977
4140,The Return of Captain Invincible,96,5,01-01-1983
96525,Grandmaster,130,120000,05-03-2012
90770,(Untitled),96,0,10-25-2009
39106,Kingpin,113,27000000,07-04-1996
56942,Everybody Loves Somebody,102,2000000,02-10-2017
79921,The Bridge on the River Kwai,161,3000000,10-02-1957
18198,Float,34,0,01-01-2007
376812,Mala Mala,89,0,04-19-2014
364834,The Girl,95,0,02-10-2009
117179,Streets of Laredo,300,0,11-12-1995
234004,Patch Adams,115,50000000,12-25-1998
22901,Slow Burn,90,0,11-01-2000
8995,Hide in Plain Sight,92,0,03-21-1980
136437,Informant,80,0,09-13-2013
287281,Red Riding Hood,84,0,06-27-2006
273997,Lizzie,81,0,04-04-1957
181454,A Prophet,155,13000000,08-26-2009
14263,Wicked Blood,92,3500000,03-04-2014
18265,California Conquest,78,0,07-04-1952
63029,Big Shots,94,0,10-02-1987
18652,Vinyl,110,0,08-01-2000
43022,J'accuse!,166,0,04-25-1919
95046,Kika,117,0,10-28-1993
159304,Hitch,118,70000000,02-10-2005
33095,A Small Town in Texas,96,0,07-09-1976
168607,The Uninvited,87,0,01-30-2009
21352,Vigilante,90,0,01-04-1983
228074,More,6,0,01-01-1998
20684,The Scouting Book for Boys,93,0,01-01-2009
410936,Blindsight,104,0,09-11-2006
637,Music in the Air,85,0,12-13-1934
39240,The Vanquished,110,0,09-04-1953
241742,Dragon Ball Z: Bio-Broly,50,0,07-09-1994
298931,Family Life,108,0,12-01-1971
211354,Special Section,118,0,04-23-1975
225728,Barbie Mariposa and Her Butterfly Fairy Friends,75,0,02-08-2008
94204,Sultan,170,10400000,07-06-2016
128842,Los indolentes,107,0,06-28-1979
4556,Just a Little Harmless Sex,98,0,06-11-1999
75897,Ratchet & Clank,94,20000000,04-13-2016
78377,I Know You Know,81,0,02-05-2009
258070,C(r)ook,108,0,11-11-2004
167935,Beyond the Walls,98,0,12-05-2012
24126,The Gamers: Natural One,29,0,08-14-2014
125911,Stop at Nothing: The Lance Armstrong Story,100,0,05-27-2014
40720,The Ghosts in Our Machine,93,0,04-28-2013
11887,Hip-Hop: Beyond Beats & Rhymes,61,0,01-01-2006
52556,Remote Control,78,0,09-09-1992
1676,Mr. Robinson,107,0,12-23-1976
42885,Street Thief,86,0,08-07-2006
361263,King of the Roaring 20's: The Story of Arnold Rothstein,106,0,06-11-1961
152948,They Knew What They Wanted,96,0,10-19-1940
38319,Runaway,9,0,06-08-2009
342925,Good Old Daze,101,0,05-21-1994
337844,Expo Magic of the White City,116,0,09-16-2005
6479,Andre,94,0,08-17-1994
17339,The Blue Lagoon,101,0,03-01-1949
66120,Preaching to the Perverted,100,0,07-04-1997
44140,Murderous Tales,80,0,03-24-2016
20942,Life Is Beautiful,116,20000000,12-20-1997
298584,The Truth,98,0,05-20-2010
159092,Alone For Christmas,82,0,10-04-2013
355211,Billy Elliot: The Musical,163,0,09-28-2014
213842,Public Enemies,177,0,01-03-2012
204768,Macbeth,113,15000000,08-16-2015
337101,Meeting Evil,89,0,05-03-2012
199916,Lethal Hostage,96,0,08-16-2012
39282,Nightwatching,135,0,09-06-2007
64527,Sams in Gefahr,90,0,12-10-2003
54615,Idiot in Paris,90,0,03-22-1967
40471,The Broken Jug,86,0,10-18-1937
296313,So Much Water,102,0,05-10-2013
65898,Warlock: The Armageddon,98,0,05-01-1993
20558,EM,93,0,06-05-2008
26182,Twelve,93,0,07-30-2010
99861,High School Musical 3: Senior Year,116,0,10-22-2008
52788,The Road,124,0,09-01-1982
69321,Will Penny,110,0,12-19-1967
51333,Strangers in the Night,56,0,09-12-1944
8697,Jesse Stone: Lost in Paradise,87,0,10-18-2015
376188,The New Gulliver,75,0,03-25-1935
753,Your Highness,102,49900000,04-08-2011
52445,Everything Before Us,101,0,06-03-2015
28196,In Dubious Battle,110,15000000,02-17-2017
4809,I Am Legend,101,150000000,12-14-2007
172390,Force 10 from Navarone,118,5000000,11-01-1978
10669,The Monk,101,11000000,07-12-2011
294991,Miss Sadie Thompson,91,0,12-23-1953
38313,House of Bamboo,102,0,07-01-1955
6948,Cabin Fever,99,0,02-12-2016
268652,Hell Baby,98,2500000,09-06-2013
91445,An Example of Intonation,50,0,01-01-1991
159704,Deadly Voyage,90,0,06-14-1996
85507,Les invincibles,0,0,09-18-2013
173793,El bosque de Karadima,98,0,04-23-2015
100409,Funny Lady,136,0,03-15-1975
158942,A Pool Without Water,103,0,01-23-1982
44666,When Willie Comes Marching Home,82,0,02-01-1950
126996,For Y'ur Height Only,87,0,01-01-1981
24006,Men & Chicken,104,0,02-05-2015
164251,The Suspended Vocation,96,0,07-27-1978
250651,Scooby-Doo! in Where's My Mummy?,75,0,11-24-2005
64353,The Big Store,83,0,06-21-1941
99242,Avengers: Age of Ultron,141,280000000,04-22-2015
271718,Sisters,92,60000,11-10-2006
43511,Pretty Maids All in a Row,91,0,04-28-1971
172803,Love's Labour's Lost,93,13000000,03-31-2000
338803,Who Am I?,108,0,01-17-1998
43593,Demidovy,156,0,08-01-1983
101733,Faces,130,275000,11-24-1968
9788,Soo,122,0,03-22-2007
11158,The Avenging Conscience: or 'Thou Shalt Not Kill',78,0,08-02-1914
74276,Good Morning Miss Dove,107,0,11-23-1955
13550,Tom Sawyer & Huckleberry Finn,90,0,10-23-2014
357125,Deliverance,109,2000000,07-30-1972
23574,Gangster Payday,97,0,10-11-2014
323695,School of Thieves,96,0,09-25-1986
37556,The Woods,91,0,09-25-2006
40833,Honeycomb,102,0,07-14-1969
195562,The Telephone,78,0,01-22-1988
44135,The Cave of the Golden Rose,200,0,12-22-1991
47931,Coquette,76,0,04-06-1929
32088,White Tiger,93,0,04-03-1996
2310,Over Your Cities Grass Will Grow,105,0,10-27-2011
238124,Silent Ones,97,0,01-22-2013
13275,Surprise,6,0,02-21-1996
343173,Marcello Mastroianni: I Remember,198,0,08-29-1997
10756,O. Henry's Full House,117,0,08-07-1952
703,Serena,102,0,10-12-2014
10680,The Case Against 8,109,0,06-06-2014
90800,The Hitch Hikers Guide to the Galaxy,150,0,02-09-1981
39943,Take Me Far Away,96,0,09-11-2009
17414,Trainwreck,125,35000000,07-17-2015
63505,Higher and Higher,90,0,12-31-1943
615,Hours,97,4000000,11-29-2013
31609,The Treacherous,133,0,05-21-2015
64942,Piranha 3D,88,24000000,08-20-2010
197583,Zombie Ass: Toilet of the Dead,85,0,09-24-2011
41482,Accepted,93,23000000,08-18-2006
87790,Honey I Blew Up the Kid,89,40000000,07-16-1992
73818,Advertising and the End of the World,46,0,01-01-1998
184681,The Changeling,107,0,03-27-1980
15166,The Sixties,468,0,06-14-2013
41426,What a Way to Go!,111,20000000,05-12-1964
102959,Devo: Hardcore Live!,0,0,02-24-2015
9603,Charlie Brown's Christmas Tales,18,0,12-08-2002
330459,King Cobra,93,0,08-10-1999
129455,Eiffel Tower from Trocadero Palace,1,0,08-21-1900
34595,The Diplomat,94,0,01-11-2009
78713,Elite Squad: The Enemy Within,115,0,10-08-2010
291634,The Little Drummer Girl,130,0,10-19-1984
4989,Wife! Be Like a Rose!,74,0,08-15-1935
412519,Beowulf,115,70000000,11-05-2007
287486,The Plainsman,92,0,08-01-1966
146239,Annapolis,108,26000000,01-27-2006
55317,The ReZort,87,0,04-22-2016
20648,The Haunted Mansion,87,90000000,11-25-2003
10021,Annie Hall,93,4000000,04-19-1977
170315,D3: The Mighty Ducks,104,0,10-04-1996
128177,Hi-De-Ho,72,0,05-09-1947
29229,To the Ends of the Earth,109,0,02-07-1948
417399,Dunston Checks In,88,16000000,01-12-1996
934,Gideon's Trumpet,104,0,04-30-1980
16771,The Passion of the Christ,127,30000000,02-25-2004
8923,Cheech & Chong Get Out of My Room,53,0,01-01-1985
2003,Mary,83,0,11-18-2005
134168,50 to 1,110,10000000,03-21-2014
382455,Lone Wolf and Cub: Baby Cart in the Land of Demons,89,0,01-01-1973
28753,Brotherhood of Death,85,0,09-14-1976
16614,The Entitled,91,0,09-06-2011
14337,Tutto parla di te,83,0,04-13-2012
220488,The Gene Generation,96,2500000,01-01-2007
230471,Jubilee,106,0,02-01-1978
11224,Trinity and Sartana Are Coming,103,0,05-30-1972
20521,Clueless,97,12000000,07-19-1995
34327,Rogue One: A Star Wars Story,133,200000000,12-14-2016
57351,Fatherland,111,0,09-02-1986
26920,Alexandra's Project,103,0,05-16-2003
14011,Pollyanna,99,0,01-01-2003
320643,The Next Step,0,0,06-13-1997
34647,Shamus,106,0,01-31-1973
94770,Honey 3: Dare to Dance,97,0,11-30-2016
408537,The Grump,104,0,09-05-2014
73135,Delivery Man,105,26000000,10-10-2013
99194,Don't Take God's Children for Wild Geese,85,0,09-06-1968
105325,100 Women,98,0,10-18-2002
460135,The Secret of My Success,111,12000000,04-10-1987
11206,The Ceremony,105,0,12-18-1963
46813,Elisa Before the End of the World,80,0,06-22-1997
9964,Left Behind II: Tribulation Force,94,0,10-29-2002
31254,The Castle of Cloads,89,0,11-27-1970
63418,Rififi,122,0,04-13-1955
29890,Barcelona,100,3200000,07-29-1994
14584,Green Street Hooligans,109,0,09-09-2005
74840,Anatomy of Hell,88,0,01-28-2004
